Timestamp, Food Quality, Service Quality, Affordability, Hygiene, Food Options, Special Dietary, Satisfied
10/31/2023 11:22:31,,5,6,6,5,4,4,5
10/31/2023 11:51:25,,5,5,6,5,4,4,5
10/31/2023 11:52:11,,4,5,4,4,5,2,4
10/31/2023 11:52:57,,3,4,4,5,4,4,4
10/31/2023 11:54:11,,3,2,3,4,3,4,2
10/31/2023 11:55:22,,4,4,5,4,4,4,4
10/31/2023 11:56:07,,5,4,4,2,5,1,3
10/31/2023 11:57:03,,4,5,5,4,6,3,3
10/31/2023 12:07:13,,5,6,6,3,3,4,5
10/31/2023 12:07:20,,4,6,6,3,3,3,5
10/31/2023 12:15:02,,5,4,5,5,4,5,5
10/31/2023 12:15:54,,5,6,4,5,3,3,5
10/31/2023 12:19:21,,2,3,3,3,4,3,3
10/31/2023 12:21:14,,3,3,3,3,4,3,2
10/31/2023 12:31:50,,5,5,5,5,5,5,5
10/31/2023 12:39:24,,6,6,6,5,4,4,5
10/31/2023 12:53:49,,2,3,3,6,2,3,2
10/31/2023 13:07:03,,5,5,5,6,6,5,5
10/31/2023 13:07:06,,4,4,3,6,3,4,5
10/31/2023 13:09:57,,5,5,5,5,4,3,5
10/31/2023 13:11:47,,5,6,5,5,4,5,5
10/31/2023 13:13:55,,3,5,6,4,3,2,3
10/31/2023 13:17:56,,3,4,3,5,5,3,3
10/31/2023 13:20:34,,3,4,4,4,5,2,3
10/31/2023 13:25:22,,3,3,4,4,2,4,4
10/31/2023 13:27:14,,4,5,4,5,5,3,6
10/31/2023 13:27:19,,3,3,5,4,3,3,4
10/31/2023 13:27:34,,5,6,6,4,2,3,4
10/31/2023 13:29:05,,4,4,5,4,3,5,5
10/31/2023 13:35:47,,3,4,4,3,5,2,4
10/31/2023 13:37:27,,3,3,5,4,3,3,3
10/31/2023 13:37:51,,1,2,4,4,4,3,1
10/31/2023 13:39:04,,4,6,4,6,6,3,3
10/31/2023 13:42:24,,4,4,2,3,5,3,4
10/31/2023 13:44:18,,2,3,6,2,3,1,2
10/31/2023 13:49:06,,6,6,6,6,5,4,6
10/31/2023 14:07:19,,4,5,4,6,4,4,5
10/31/2023 14:08:37,,4,3,6,6,6,4,4
10/31/2023 14:16:37,,4,5,4,5,5,4,4
10/31/2023 14:17:01,,5,4,6,3,6,2,5
10/31/2023 14:30:34,,4,6,5,6,5,3,5
10/31/2023 14:47:57,,4,4,3,3,3,4,4
10/31/2023 14:48:56,,4,4,3,4,4,4,4
10/31/2023 14:56:23,,4,5,5,6,5,5,5
10/31/2023 15:12:56,,3,3,4,3,4,2,5
10/31/2023 16:03:14,,3,3,3,4,4,4,4
10/31/2023 16:06:47,,6,6,6,6,6,6,6
10/31/2023 16:08:33,,6,6,6,6,6,6,6
10/31/2023 16:34:26,,4,6,5,6,5,6,4
10/31/2023 16:46:52,,3,3,3,3,4,4,4
10/31/2023 16:49:02,,4,3,3,3,3,4,4
11/1/2023 9:59:38,,4,5,4,4,4,4,4
11/1/2023 9:59:43,,2,3,3,3,2,1,2
11/1/2023 10:00:31,,4,4,5,3,3,2,4
11/1/2023 10:00:45,,5,5,6,6,6,5,5
11/1/2023 10:01:10,,5,6,5,4,6,3,5
11/1/2023 10:01:46,,5,5,5,5,4,5,5
11/1/2023 10:02:01,,3,5,4,4,4,4,4
11/1/2023 10:02:38,,5,6,6,6,5,6,6
11/1/2023 10:03:32,,6,6,6,6,6,4,6
11/1/2023 10:04:51,,5,6,5,4,6,1,4
11/1/2023 10:05:16,,3,5,5,2,1,2,3
11/1/2023 10:06:00,,5,5,4,5,6,4,5
11/1/2023 10:07:07,,5,4,4,4,4,3,4
11/1/2023 10:09:24,,4,4,5,4,5,4,4
11/1/2023 10:12:49,,4,6,4,6,5,4,6
11/1/2023 10:14:37,,4,5,5,6,6,5,6
11/1/2023 10:15:06,,5,5,5,5,5,5,5
11/1/2023 10:20:13,,1,1,1,1,1,1,1
11/1/2023 10:22:06,,4,4,3,5,4,4,4
11/1/2023 10:25:19,,5,4,5,5,4,5,5
11/1/2023 10:26:43,,4,4,4,4,4,4,4
11/1/2023 10:30:28,,4,4,3,3,2,4,4
11/1/2023 10:31:11,,4,5,6,5,3,5,5
11/1/2023 10:32:28,,5,5,6,5,6,3,6
11/1/2023 10:38:37,,3,5,5,5,2,4,2
11/1/2023 10:40:05,,2,4,5,4,4,3,3
11/1/2023 10:42:30,,4,5,5,4,6,3,4
11/1/2023 10:46:33,,5,6,6,4,5,4,5
11/1/2023 10:49:08,,4,4,6,5,3,5,5
11/1/2023 10:49:33,,4,5,4,5,4,4,4
11/1/2023 10:49:48,,4,4,5,3,5,2,4
11/1/2023 10:51:10,,3,3,4,3,1,3,3
11/1/2023 10:53:17,,2,6,5,5,2,3,3
11/1/2023 10:53:41,,5,6,5,6,4,5,5
11/1/2023 10:54:33,,4,6,5,6,5,3,6
11/1/2023 10:57:27,,4,5,5,5,6,5,5
11/1/2023 11:05:06,,4,5,4,4,3,4,3
11/1/2023 11:05:53,,5,6,6,5,6,5,5
11/1/2023 11:05:54,,6,6,4,5,5,6,5
11/1/2023 11:06:20,,1,1,2,5,2,3,1
11/1/2023 11:09:19,,5,6,4,4,5,3,5
11/1/2023 11:16:36,,5,6,5,5,6,5,6
11/1/2023 11:21:23,,5,5,5,5,5,5,5
11/1/2023 11:40:01,,5,6,6,4,5,5,6
11/1/2023 11:40:24,,2,4,3,3,5,4,3
11/1/2023 11:42:48,,5,6,6,6,6,4,6
11/1/2023 11:42:59,,5,4,6,4,3,4,4
11/1/2023 11:43:59,,5,6,6,4,5,3,5
11/1/2023 11:50:28,,3,5,3,6,3,3,3
11/1/2023 12:02:13,,4,5,6,6,6,6,4
11/1/2023 12:02:21,,4,4,4,5,5,4,4
11/1/2023 12:08:28,,3,4,5,5,4,3,4
11/1/2023 12:13:03,,4,4,4,4,3,3,3
11/1/2023 12:16:17,,4,4,4,5,3,3,4
11/1/2023 12:39:36,,4,4,4,4,5,3,4
11/1/2023 13:00:51,,3,5,5,4,5,5,3
11/1/2023 13:09:07,,3,3,4,4,3,3,3
11/1/2023 13:09:17,,4,4,4,4,4,4,4
11/1/2023 13:09:18,,2,5,4,4,6,4,4
11/1/2023 13:12:33,,6,6,6,6,6,6,6
11/1/2023 13:13:05,,5,5,4,5,3,3,5
11/1/2023 13:13:30,,5,6,6,5,4,5,4
11/1/2023 13:16:51,,4,6,5,6,4,4,5
11/1/2023 13:20:54,,4,5,6,5,3,5,4
11/1/2023 13:23:35,,3,3,4,4,2,4,3
11/1/2023 13:25:20,,5,5,5,5,4,5,4
11/1/2023 13:38:17,,5,6,3,6,5,3,5
11/1/2023 14:14:59,,5,6,5,6,5,5,6
11/1/2023 14:20:24,,4,5,6,4,4,4,4
11/1/2023 14:32:17,,5,4,6,5,5,2,5
11/1/2023 14:48:22,,4,4,5,2,2,1,3
11/1/2023 15:32:52,,5,5,6,5,5,3,5
11/1/2023 15:48:53,,4,5,5,4,4,4,5
11/1/2023 15:50:48,,5,5,5,6,4,6,5
11/1/2023 15:52:45,,4,5,4,5,5,3,5
11/1/2023 16:14:26,,5,5,6,4,5,4,5
11/1/2023 17:33:57,,5,5,4,5,4,4,5
11/1/2023 17:36:18,,6,4,6,5,5,6,6
11/1/2023 19:00:48,,4,4,4,4,4,4,4
11/1/2023 19:12:53,,4,3,5,6,6,4,3
11/1/2023 19:48:40,,2,4,3,5,2,2,2
11/1/2023 20:04:31,,3,4,4,4,4,3,4
11/1/2023 21:16:39,,5,5,5,5,5,5,5
11/1/2023 21:33:44,,4,4,5,3,5,4,4
11/1/2023 21:34:48,,2,5,3,5,4,4,4
11/1/2023 21:35:49,,4,5,5,4,3,5,5
11/1/2023 21:41:47,,3,5,6,5,6,5,3
11/1/2023 21:59:13,,4,5,3,3,4,3,3
11/1/2023 22:15:24,,3,3,3,5,2,3,3
11/1/2023 22:17:23,,4,5,4,5,3,3,4
11/1/2023 22:19:00,,4,4,5,3,5,4,4
11/1/2023 22:34:46,,6,6,6,6,6,6,6
11/1/2023 22:44:19,,4,5,6,5,5,4,6
11/1/2023 23:35:47,,2,4,4,4,3,3,4
11/1/2023 23:40:44,,4,5,6,6,5,5,5
11/2/2023 8:24:50,,3,5,6,4,3,4,5
11/2/2023 9:08:19,,6,6,6,5,6,6,6
11/2/2023 9:15:59,,4,5,5,5,3,4,5
11/2/2023 10:07:22,,6,6,6,6,6,6,6
11/2/2023 11:06:21,,5,5,5,5,5,5,5
11/2/2023 15:42:05,,5,5,5,5,6,4,5
11/3/2023 8:16:45,,3,4,4,4,4,3,3
11/3/2023 9:14:54,,3,4,3,5,3,4,3
11/3/2023 9:34:37,,3,3,5,5,4,4,3
11/3/2023 11:37:12,,3,4,4,5,5,4,3
11/3/2023 14:30:33,,4,4,5,5,5,3,4
11/3/2023 21:32:33,,3,3,4,3,3,3,3
11/4/2023 11:03:21,,4,4,4,5,5,4,4
11/5/2023 13:37:29,,5,4,6,5,5,5,5
11/7/2023 10:37:52,,2,2,5,5,1,1,2
11/7/2023 10:37:56,,3,2,5,5,2,2,2
11/7/2023 10:38:34,,2,3,4,4,1,1,2
11/7/2023 10:39:10,,2,4,5,4,1,1,2
11/7/2023 10:39:32,,1,4,4,4,1,1,1
11/7/2023 10:40:33,,2,2,4,4,1,1,2
11/7/2023 10:41:11,,2,1,4,4,1,2,1
11/7/2023 10:41:34,,1,3,3,4,2,1,1
11/7/2023 10:42:04,,1,1,5,5,2,1,1
11/7/2023 10:42:13,,2,2,3,3,2,1,2
11/7/2023 14:32:59,,1,2,4,3,1,2,2
11/7/2023 14:33:17,,2,1,3,1,2,1,1
11/7/2023 14:33:40,,2,3,4,3,1,1,2
11/7/2023 14:34:03,,3,1,3,3,2,1,2
11/7/2023 14:36:21,,1,2,3,3,2,1,1
11/7/2023 14:36:39,,1,1,4,2,1,1,2
11/7/2023 14:37:10,,2,1,3,1,2,1,2
11/7/2023 14:37:25,,1,1,2,2,1,1,1
11/7/2023 14:37:45,,2,2,3,2,1,1,2
11/7/2023 14:38:30,,2,1,2,1,1,1,1